"","State","Bill Link","Status","Bill Type"
"34","LA","SB 172","Referred to committee 3/9/20","Youth Athletics"
"35","MO","HJR 82","Public Hearing Conducted 2/19/20","Youth Athletics"
"36","MO","SJR 50","Hearing Conducted 2/25/20","Youth Athletics"
"37","MS","SB 2240","Died in Committee 3/3/20","Youth Athletics"
"38","NH","SB 480","Died in committee 3/10/20","Youth Athletics"
"39","NH","HB 1251","Died in committee 3/10/20","Youth Athletics"
"40","SC","S 1087","Introduced; Referred to Committee 2/6/20","Youth Athletics"
"41","TN","SB 2077 / HB 1572","Referred to Committee 2/6/20; Hearing cancelled 3/17/20","Youth Athletics"
"42","WA","HB 2201","Introduced; Referred to Committee 1/13/20","Youth Athletics"
"43","WV","HB 4564","Introduced; Referred to Committee 1/28/20","Youth Athletics"
"44","ID","H 509","Signed by Speaker and President 3/18/20","ID Updates"
"45","IN","SB 74","Referred to Committee 1/9/20","ID Updates"
"46","AZ","HB 2082","Prefiled 1/2/20","Other"
"47","AZ","HB 2361","Introduced 1/15/20","Other"
"48","IA","HF 2164","Introduced; Referred to Committee 1/29/20","Other"
"49","IL","HB 4645","Introduced; Referred to Committee 2/5/20","Other"
"50","MO","SB 988","Referred to Committee 3/5/20","Other"
"51","PA","HB 2144","Referred to Committee 12/18/19","Other"
"52","SD","HB 1215","Withdrawn 2/24/20","Other"
"53","IN","HB 1416","Introduced; Referred to Committee 1/15/20","Religious Freedom"
"54","IA","SF 508","Subcommittee Recommends Passage 2/13/20","Religious Freedom"
"55","WV","HB 2985","Introduced; Referred to Committee 1/8/20","Religious Freedom"
"56","IA","HF 2273","Introduced; Referred to Committee 2/7/20","Religious Freedom"
"57","IA","SF 2193","Referred to Subcommittee 2/11/20","Religious Freedom"
"58","IA","SF 2194","Referred to Subcommittee 2/11/20","Religious Freedom"
"59","IN","SB 300","Introduced; Referred to Committee 1/9/20","Religious Freedom"
"60","KY","SB 90","Referred to committee 3/17/20","Religious Freedom"
"61","OK","SB 1515","Referred to Committee 2/6/20","Religious Freedom"
"62","SD","SB 109","Passed by Senate 2/24/20","Religious Freedom"
"63","GA","SB 368","Referred to Committee 2/18/20","Religious Freedom"
"64","IA","SF 2194","Introduced; Referred to Committee 2/11/20","Religious Freedom"
"65","IA","HF 2273","Introduced; Referred to Committee 2/7/20","Religious Freedom"
"66","MO","HB 2043","Read Second Time 1/9/20","Religious Freedom"
"67","TN","SB 1034","House Bill Substituted; Signed by Governor 1/24/20","Religious Freedom"
"68","TN","HB 836","Signed by Governor 1/23/20; Published 2/18/20","Religious Freedom"
"69","MO","SB 761","Referred to Committee 2/13/20","Religious Freedom"
"70","CO","HB 1033","Postponed Indefinitely 2/13/20","Religious Freedom"
"71","IA","SF 2194","Introduced; Referred to Committee 2/11/20","Religious Freedom"
"72","IA","HF 2273","Introduced; Referred to Committee 2/7/20","Religious Freedom"
"73","MA","H. 1392","Carryover from 2019","Religious Freedom"
"74","MO","HB 2572","Introduced; Referred to Committee 3/1/20","Religious Freedom"
"75","TN","SB 364","Referred to Committee 2/19/20","Religious Freedom"
"76","TN","SB 2625 / HB 2410","Assigned to Committee 2/10/20; Hearing cancelled 3/18/20","Religious Freedom"
"77","AK","SB 7","Active 2/20/19 (carryover from 2019)","Nondiscrimination Protections"
"78","AZ","SB 1082","Introduced 1/8/20","Nondiscrimination Protections"
"79","SD ","HB 1215","Withdrawn 2/24/20","Nondiscrimination Protections"
"80","TN","HB 2140 / ","Referred to Committee 2/10/19","Nondiscrimination Protections"
"81",NA,"SB 2625",NA,NA
