State,Number,Summary,Bill Type,Date,Status,Erin Reed's State Risk,Notes,URL,Sponsors,Calendar,Change Hash
Idaho,S1011,Amends existing law to provide that freedom from discrimination because of sexual orientation or gender identity is a civil right.,Broad Nondiscrimination,1/23/2023,Reported Printed; referred to State Affairs,Worst,,https://legiscan.com/ID/bill/S1011/2023,"Melissa Wintrow, Rick Just, Steve Berch, Alison Rabe, Susan Chew, James Ruchti, Sonia Galaviz, Carrie Semmelroth, John Gannon, Ron Taylor, Brooke Green, Janie Ward-Engelking, Chris Mathias, Colin Nash, Lauren Necochea, Illana Rubel, Nate Roberts, Ned Burns",,34b708816dd73fbac43178974a0fe9e9
Kansas,HB2178,"Amending the Kansas act against discrimination to include sexual orientation, gender identity or expression and status as a veteran.",Broad Nondiscrimination,1/25/2023,House Referred to Committee on Federal and State Affairs,Worst,,https://legiscan.com/KS/bill/HB2178/2023,"Brandon Woodard, Heather Meyer, Susan Ruiz",,0baeb2766bd269a4aa7ea23e6aa97c74
Mississippi,SB2193,Mississippi Civil Rights Act; enact.,Broad Nondiscrimination,1/31/2023,Died In Committee,Worst,,https://legiscan.com/MS/bill/SB2193/2023,Derrick Simmons,,1b4be5a5b87b92a4aa909b49be803bb2
Missouri,SB60,Prohibits discrimination based on sexual orientation or gender identity,Broad Nondiscrimination,3/29/2023,Hearing Conducted S General Laws Committee,Worst,,https://legiscan.com/MO/bill/SB60/2023,Greg Razer,"Hearing 2023-03-29 08:00 Senate Lounge, Hearing 2023-03-29 08:00 SCR 1",e80d22b6ffb7077bc7d0a175022bee58
Oklahoma,HB2119,Discrimination; discriminatory practices; effective date.,Broad Nondiscrimination,2/7/2023,Second Reading referred to Judiciary - Civil,Worst,,https://legiscan.com/OK/bill/HB2119/2023,"Amanda Swope, Jared Deck",,d3942d870638ef14997d9fc3264f670b
South Carolina,H3738,Antidiscrimination,Broad Nondiscrimination,5/11/2023,Member(s) request name added as sponsor: Henegan,High,,https://legiscan.com/SC/bill/H3738/2023,"Todd Rutherford, Gilda Cobb-Hunter, Chandra Dillard, John King, Heather Bauer, Terry Alexander, Patricia Henegan",,2f7322dfb11ec5c2b7a5c0e20dfb60c4
Texas,HB850,Relating to the prohibition of certain discrimination based on sexual orientation or gender identity or expression; providing an administrative penalty.,Broad Nondiscrimination,3/1/2023,Referred to State Affairs,Worst,,https://legiscan.com/TX/bill/HB850/2023,"Ron Reynolds, Mihaela Plesa, Penny Morales Shaw, Christina Morales",,14853b1b33b89ab07c56ff4dc7edf9ae
Texas,HB725,Relating to prohibiting certain discrimination based on sexual orientation or gender identity or expression.,Broad Nondiscrimination,2/28/2023,Referred to State Affairs,Worst,,https://legiscan.com/TX/bill/HB725/2023,Toni Rose,,6ca4bb4aa4eb700e478f275246cebdfd
Texas,HB1806,Relating to the prohibition of employment discrimination based on sexual orientation or gender identity or expression.,Broad Nondiscrimination,3/7/2023,Referred to International Relations & Economic Development,Worst,,https://legiscan.com/TX/bill/HB1806/2023,"Penny Morales Shaw, Rhetta Bowers, John Bryant, Vikki Goodwin, Venton Jones, Terry Meza",,5f7aceaffc100fa32a1d247e90e084a1
Texas,HB1012,Relating to the prohibition of certain discrimination; authorizing civil penalties.,Broad Nondiscrimination,3/2/2023,Referred to State Affairs,Worst,,https://legiscan.com/TX/bill/HB1012/2023,"Jessica Gonzalez, Rafael Anchia, Trey Martinez Fischer, Ron Reynolds, Victoria Neave Criado, Diego Bernal, John Bucy, Sheryl Cole, Nicole Collier, Yvonne Davis, Josey Garcia, Gina Hinojosa, Jarvis Johnson, Christian Manuel, Penny Morales Shaw, Mihaela Plesa, Ana-Maria Ramos, Toni Rose, Carl Sherman, James Talarico",,72a8fe02da14a641eac6a2dce5bd4200
West Virginia,HB2290,Relating to unlawful discriminatory practices in categories covered by the Human Rights Act and the Fair Housing Act,Broad Nondiscrimination,1/11/2023,To House Workforce Development,High,,https://legiscan.com/WV/bill/HB2290/2023,Danielle Walker,,ce48d2dbc581e2999d7db1d1d14978b8
West Virginia,HB2266,Adding “sexual orientation” and “gender identity” to the categories covered by the Human Rights Act and WV Fair Housing Act,Broad Nondiscrimination,1/11/2023,To House Workforce Development,High,,https://legiscan.com/WV/bill/HB2266/2023,Mike Pushkin,,f7d5c0f909ae84f35dc36d713a3a837e
Arizona,HB2703,Antidiscrimination; employment; housing; public accommodations,Broad Nondiscrimination,2/8/2023,House read second time,Low,,https://legiscan.com/AZ/bill/HB2703/2023,Andres Cano,,3b83d688de27fc42458850881e7ec30a
New Mexico,SB226,Diversity Act,"Commissions, Task Forces, and Studies",3/10/2023,HGEIC: Reported by committee with Do Pass recommendation,Safest,,https://legiscan.com/NM/bill/SB226/2023,"Linda Lopez, Shannon Pinto, Harold Pope","Hearing 2023-02-13 00:00 Room 311, Hearing 2023-02-25 00:00 Room 322, Hearing 2023-03-10 08:30 Room 305",ae614cdbddc32d5601b1c3d857306a96
New York,S01250,"Establishes an LGBTQ+ youth and young adult suicide prevention task force; provides for the number of members, manner of appointment and the topics to be reviewed.","Commissions, Task Forces, and Studies",3/28/2023,referred to mental health,Safest,,https://legiscan.com/NY/bill/S01250/2023,"Julia Salazar, Joseph Addabbo, Jabari Brisport, Cordell Cleare, Kristen Gonzalez, Peter Harckham, Michelle Hinchey, Brad Hoylman-Sigal, Robert Jackson, Timothy Kennedy, John Liu, Rachel May, Zellnor Myrie, Jessica Ramos, Luis Sepulveda, James Skoufis","Hearing 2023-01-31 13:15 Room 813 LOB, Hearing 2023-03-21 11:00 Room 124 CAP",9dcca885f72b2635238d7350984e0bf7
New York,A0032,,"Commissions, Task Forces, and Studies",Unknown,,Safest,,,,,
New Jersey,A1592,"Establishes ""Commission on Lesbian, Gay, Bisexual, Transgender, Queer, and Questioning Affairs.""","Commissions, Task Forces, and Studies",1/11/2022,"Introduced, Referred to Assembly Health Committee",Safest,,https://legiscan.com/NJ/bill/A1592/2022,William Moen,,14cc4a42f68af2d5847288be34efa9a3
New Jersey,A1494,Establishes procedures for intake and record keeping of certain 9-1-1 calls.,"Commissions, Task Forces, and Studies",1/11/2022,"Introduced, Referred to Assembly Law and Public Safety Committee",Safest,,https://legiscan.com/NJ/bill/A1494/2022,Angela Mcknight,,8e2122787fb356bc993b28301ab9731e
Oregon,SB421,Relating to a youth advisory council; declaring an emergency.,"Commissions, Task Forces, and Studies",6/25/2023,In committee upon adjournment.,Safest,,https://legiscan.com/OR/bill/SB421/2023,"Michael Dembrow, Andrea Valderrama, Maxine Dexter, Lew Frederick, Kayse Jama, Courtney Neron, Lisa Reynolds, Wlnsvey Campos, James Manning, Janeen Sollman, David Gomberg, Khanh Pham","Hearing 2023-02-28 15:00 HR B, Hearing 2023-03-30 15:00 HR B",a8d239c3d5d82b740e19f737d026d659
New York,A01273,"Establishes the LGBTQ+ advisory board to make recommendations, conduct research, and more regarding the LGBTQ+ community in New York state.","Commissions, Task Forces, and Studies",5/30/2023,REFERRED TO FINANCE,Safest,,https://legiscan.com/NY/bill/A01273/2023,"Anna Kelles, Jessica Gonzalez-Rojas, Rebecca Seawright, Maritza Davila, Fred Thiele, Jo Simon, Jeffrey Dinowitz, Harvey Epstein, Steven Raga","Hearing 2023-05-09 11:00 Room 623 LOB, Hearing 2023-05-24 00:00 , Hearing 2023-05-30 00:00 ",c9e9b740b28eff5e2e343a851941a973
Alaska,HB43,Conversion Therapy Prohibitions,Conversion Therapy Ban,3/17/2023,COSPONSOR(S): FIELDS,Moderate,,https://legiscan.com/AK/bill/HB43/2023,"Sara Hannan, Jennifer Armstrong, Genevieve Mina, Donna Mears, Conrad McCormick, William Fields","Hearing 2023-02-18 15:00 Davis 106, Hearing 2023-03-16 15:00 Davis 106",eae89bea46bd814963e2aca7e1f6e743
Arizona,HB2351,Conversion therapy; prohibition; minors,Conversion Therapy Ban,1/19/2023,House read second time,Low,,https://legiscan.com/AZ/bill/HB2351/2023,"Patricia Contreras, Cesar Aguilar, Lorena Austin, Flavio Bravo, Andres Cano, Nancy Gutierrez, Jennifer Longdon, Marcelino Quiñonez, Mariana Sandoval, Judy Schwiebert, Keith Seaman, Stephanie Stahl Hamilton, Leezah Sun, Laura Terech, Anastasia Travers",,662efb18c63eec27a9302df0c23f67c7
Minnesota,HF16,"Conversion therapy prohibited for children and vulnerable adults, medical assistance coverage prohibited, and misrepresentation of conversion therapy services or products prohibited.",Conversion Therapy Ban,4/27/2023,Secretary of State Chapter 28 ,Safest,,https://legiscan.com/MN/bill/HF16/2023,"Athena Hollins, Heather Keeler, Zack Stephenson, Jessica Hanson, Jamie Becker-finn, Liz Reyer, Maria Perez-Hedges, Brion Curran, Leigh Finke, Sydney Jordan, Alicia Kozlowski, Cheryl Youakim, Peter Fischer, Leon Lillie, Kaohly Her, Kelly Moller, Kristi Pursell, Larry Kraft, Mary Clardy, Nathan Coulter, Andrew Smith, Amanda Hemmingsen-Jaeger, Liz Lee, Mike Freiberg, Josiah Hill, Ned Carroll, Liz Olson, Samantha Vang, Jeff Brand, Robert Bierman, Samantha Sencer-Mura, Lucille Rehm, Luke Frederick, Tina Liebling, Heather Edelson","Hearing 2023-01-18 13:00 , Hearing 2023-01-24 10:30 , Hearing 2023-02-01 13:00 ",4e945ab0bedb23daef15557e1b7a8e88
Minnesota,SF23,Conversion therapy prohibition establishment,Conversion Therapy Ban,2/27/2023,"Rule 45-amend, subst. General Orders HF16, SF indefinitely postponed",Safest,,https://legiscan.com/MN/bill/SF23/2023,"David Dibble, Alice Mann, Erin Maye Quade, Clare Oumou Verbeten, Heather Gustafson","Hearing 2023-02-08 08:30 , Hearing 2023-02-14 12:30 ",2fedd4f5ddab95ed440e31a2812a3bf3
Minnesota,HF951,"Conversion therapy with children or vulnerable adults prohibited, medical assistance coverage prohibited for conversion therapy, and misrepresentation of conversion therapy services or products prohibited.",Conversion Therapy Ban,2/1/2023,Author added Hassan,Safest,,https://legiscan.com/MN/bill/HF951/2023,"Steve Elkins, Melissa Hortman, Jamie Long, Brad Tabke, Frank Hornstein, Lucille Rehm, Hodan Hassan",,d86a1cfb2425fadfd7bd9adcfb7618f6
Nebraska,LB179,Prohibit conversion therapy,Conversion Therapy Ban,2/22/2023,Fredrickson AM145 filed,Worst,,https://legiscan.com/NE/bill/LB179/2023,John Fredrickson,Hearing 2023-03-01 13:30 Room 1510,578b22a0f9d4940e7a4bb0d5a996f192
New Mexico,SB256,Disciplinary Action For Conversion Therapy,Conversion Therapy Ban,2/20/2023,SHPAC: Reported by committee with Do Not Pass but without recommendation on Committee Substitution,Safest,,https://legiscan.com/NM/bill/SB256/2023,"Gail Chasey, Carrie Hamblen, Daniel Ivey-Soto, Leo Jaramillo, Elizabeth Stefanics","Hearing 2023-02-15 00:00 Room 311, Hearing 2023-02-17 00:00 Room 311",07b06004f16fca62e3a03be0e6a09b07
Oregon,HB2458,Relating to conversion therapy; declaring an emergency.,Conversion Therapy Ban,6/25/2023,In committee upon adjournment.,Safest,,https://legiscan.com/OR/bill/HB2458/2023,"Robert Nosse, Deb Patterson, Ben Bowman, Dacia Grayber, Chris Gorsek",Hearing 2023-02-14 17:00 HR A,bafa17e0de67a018370d7680774a5ce5
Texas,SB439,Relating to unprofessional conduct by mental health providers who attempt to change the sexual orientation of a child.,Conversion Therapy Ban,2/15/2023,Referred to Health & Human Services,Worst,,https://legiscan.com/TX/bill/SB439/2023,Jose Menendez,,168103569ce3b57b00b6d541f46a2357
Texas,HB1679,Relating to unprofessional conduct by mental health providers who attempt to change the sexual orientation of a child.,Conversion Therapy Ban,3/7/2023,Referred to Public Health,Worst,,https://legiscan.com/TX/bill/HB1679/2023,Ana Hernandez,,05b7fc3c559be82e809dc346f49c1295
Wisconsin,AB3,"Rules defining unprofessional conduct by marriage and family therapists, professional counselors, and social workers and suspension of a portion of a rule of the Marriage and Family Therapy, Professional Counseling, and Social Work Examining Board.",Conversion Therapy Ban,3/14/2023,"Referred to Family Law, Ayes 61, Noes 35",Low,,https://legiscan.com/WI/bill/AB3/2023,committee for review of Administrative Rules,,62920af1c118e456285879f8e9fbb4c1
Kentucky,HB162,AN ACT relating to youth mental health protection and declaring an emergency.,Conversion Therapy Ban,2/23/2023,to Appropriations & Revenue (H),Worst,,https://legiscan.com/KY/bill/HB162/2023,"Lisa Willner, Killian Timoney, Chad Aull, Tina Bojanowski, George Brown, Lindsey Burke, Beverly Chester-Burton, Alan Gentry, Daniel Grossberg, Keturah Herron, Nima Kulkarni, Ruth Palumbo, Josie Raymond, Rachel Roarx, Rachel Roberts, Sarah Stalker, Cherlynn Stevenson, Pamela Stevenson",,e0d7ea43b4ef61e42d85216fee27e8e3
New York,A02354,Relates to broadening national guard personnel standards to include no discrimination based on an individual's gender identity or expression.,Employment Nondiscrimination,1/25/2023,referred to governmental operations,Safest,,https://legiscan.com/NY/bill/A02354/2023,Daniel O'Donnell,,41a45e4418e59617e1ab3254f015582b
New Mexico,HB7,Reproductive & Gender-affirming Health Care,Gender Affirming Care Protections,3/16/2023,Signed by Governor - Chapter 11 - Mar. 16,Safest,,https://legiscan.com/NM/bill/HB7/2023,"Janelle Anyanonu, Charlotte Little, Kristina Ortez, Linda Serrato, Reena Szczepanski","Hearing 2023-02-03 08:30 Room 307, Hearing 2023-02-08 13:30 Room 309, Hearing 2023-03-01 00:00 Room 311, Hearing 2023-03-04 09:00 Room 321",d9caae542ce57c0a2ec2de0b757756fc
New York,A01936,"Prohibits state contracts with contractors who do not provide health insurance which covers services for transgender, non-binary, and gender expansive people.",Gender Affirming Care Protections,1/23/2023,referred to governmental operations,Safest,Requires state contractors to provide gender affirming care,https://legiscan.com/NY/bill/A01936/2023,"Jessica Gonzalez-Rojas, Rebecca Seawright, Tony Simone",,5d13eb2b469844692babe5fd45b7fd77
New York,S04287,"Prohibits state contracts with contractors who do not provide health insurance which covers services for transgender, non-binary, and gender expansive people.",Gender Affirming Care Protections,2/7/2023,REFERRED TO PROCUREMENT AND CONTRACTS,Safest,,https://legiscan.com/NY/bill/S04287/2023,"Jeremy Cooney, Cordell Cleare, Brad Hoylman-Sigal, Lea Webb",Hearing 2023-02-14 12:30 Room 801 LOB,11f9a9329a7beb430b65ad4ec019d431
South Carolina,S0072,"Murder, hate crime aggravating circumstances",Hate Crimes/Aggravating Circumstances,1/10/2023,Referred to Committee on Judiciary,High,,https://legiscan.com/SC/bill/S0072/2023,Gerald Malloy,,e9d60ac22910e57e458cc441a9eeff5f
South Carolina,H3020,Hate crimes,Hate Crimes/Aggravating Circumstances,1/18/2023,Member(s) request name added as sponsor: Carter,High,,https://legiscan.com/SC/bill/H3020/2023,"John King, Patricia Henegan, Jerry Carter",,1069522b91b6aee6577fa7a25e3bd0cc
West Virginia,HB3298,"Prohibiting civil rights violations based on disability, gender identity or sexual orientation",Hate Crimes/Aggravating Circumstances,2/6/2023,To House Jails and Prisons,High,,https://legiscan.com/WV/bill/HB3298/2023,Kayla Young,,2d1bca4e3af64b54a28fff8468c2989d
South Carolina,H3356,SLED hate crimes database,Hate Crimes/Aggravating Circumstances,1/10/2023,Referred to Committee on Judiciary,High,,https://legiscan.com/SC/bill/H3356/2023,John King,,6d00a0f7a78534103f5e0df73dc19308
South Carolina,S0296,Hate crimes; provide penalties,Hate Crimes/Aggravating Circumstances,2/9/2023,Scrivener's error corrected,High,,https://legiscan.com/SC/bill/S0296/2023,Karl Allen,,dcc997e459ce744ab83e3a29b96e38f5
Maryland,HB283,Maryland Medical Assistance Program - Gender-Affirming Treatment (Trans Health Equity Act),Health Care Equity,5/3/2023,Approved by the Governor - Chapter 253,Safest,,https://legiscan.com/MD/bill/HB283/2023,"Anne Kaiser, Bonnie Cullison, Gabriel Acevero, Nick Allen, Marlon Amprey, Vanessa Atterbeary, Heather Bagnall, Ben Barnes, Kumar Barve, Regina Boyce, Jon Cardin, Lorig Charkoudian, Luke Clippinger, Eric Ebersole, Mark Edelson, Elizabeth Embry, Kris Fair, Jessica Feldmark, Diana Fennell, Linda Foley, Catherine Forbes, David Fraser-hidalgo, Brooke Grossman, Pam Guzzone, Terri Hill, Dana Jones, Aaron Kaufman, Ariana Kelly, Ken Kerr, Mary Lehman, Robbyn Lewis, Lesley Lopez, Sara Love, Aletheia McCaskill, Bernice Mireku-North, David Moon, Julie Palakovich Carr, Cheryl Pasteur, Lily Qi, Pamela Queen, Kirill Reznik, Samuel Rosenberg, Sheila Ruth, Emily Shetty, Karen Simpson, Stephanie Smith, Jared Solomon, Dana Stein, Vaughn Stewart, Deni Taveras, Jen Terrasa, Kriselda Valderrama, Joe Vogel, Courtney Watson, Melissa Wells, Jheanelle Wilkins, Natalie Ziegler, Joseline Pena-Melnyk, Jennifer White, Ashanti Martinez",Hearing 2023-02-14 13:00 ,2027e2dfed04f8a36abb7bde2b8221cb
Maryland,SB460,Maryland Medical Assistance Program – Gender–Affirming Treatment (Trans Health Equity Act),Health Care Equity,5/3/2023,Approved by the Governor - Chapter 252,Safest,,https://legiscan.com/MD/bill/SB460/2023,"Mary Washington, Malcolm Augustine, Sarah Elfreth, Brian Feldman, Guy Guzzone, Shelly Hettleman, Nancy King, Benjamin Kramer, Clarence Lam, William Smith, Jeff Waldstreicher, Craig Zucker, Arthur Ellis, Antonio Hayes","Hearing 2023-02-28 13:00 , Hearing 2023-03-28 13:00 ",ea9834d9fda848e18f10b4ce1eff3660
Texas,HB265,Relating to the prohibition of housing discrimination on the basis of sexual orientation or gender identity and to the enforcement of that prohibition.,Housing Nondiscrimination,2/23/2023,Referred to Urban Affairs,Worst,,https://legiscan.com/TX/bill/HB265/2023,Diego Bernal,,189c3523c7cf2295f1a8ad73c9d09d6d
Maryland,HB40,Places of Public Accommodation and Public Buildings - Gender-Inclusive Signage,Inclusive Bathrooms,2/13/2023,Hearing 2/08 at 1:00 p.m. (Economic Matters) and Hearing canceled (Health and Government Operations),Safest,,https://legiscan.com/MD/bill/HB40/2023,Jared Solomon,Hearing 2023-02-08 13:00 ,e4f0fe8811259f4a6eb37ca3a6de3537
Colorado,HB1057,Amenities For All Genders In Public Buildings,Inclusive Bathrooms,5/24/2023,Governor Signed,Safest,,https://legiscan.com/CO/bill/HB1057/2023,"Karen McCormick, Stephanie Vigil, Sonya Jaquez Lewis, Judith Amabile, Jennifer Bacon, Andrew Boesenecker, Kyle Brown, Ruby Dickson, Regina English, Elisabeth Epps, Meg Froelich, Lorena Garcia, Serena Gonzales-Gutierrez, Leslie Herod, Iman Jodeh, Junie Joseph, Cathy Kipp, Mandy Lindsay, William Lindstedt, Meghan Lukens, Javier Mabrey, Matthew Martinez, Julie McCluskie, Barbara McLachlan, Dafna Michaelson Jenet, David Ortiz, Jennifer Parenti, Naquetta Ricks, Said Sharbini, Emily Sirota, Tammy Story, Brianna Titone, Alex Valdez, Elizabeth Velasco, Michael Weissman, Jenny Willford, Chris Kennedy, Jeff Bridges, Janet Buckner, James Coleman, Lisa Cutter, Jessie Danielson, Thomas Exum, Steve Fenberg, Rhonda Fields, Joann Ginal, Julie Gonzales, Chris Hansen, Nick Hinrichsen, Chris Kolker, Janice Marchman, Dominick Moreno, Kyle Mullica, Kevin Priola, Dylan Roberts, Robert Rodriguez, Tom Sullivan, Faith Winter, Rachel Zenzinger","Hearing 2023-01-30 13:30 Room LSB-A, Hearing 2023-02-13 13:30 Room LSB-A, Hearing 2023-04-21 08:00 Room Old State Library, Hearing 2023-05-03 00:00 Room SCR 357, Hearing 2023-05-04 08:30 Room LSB-B",1797e8adfd2671373ce3cf9827857c1f
Texas,HB831,Relating to prohibition of certain insurance discrimination.,Insurance Nondiscrimination,3/1/2023,Referred to Insurance,Worst,,https://legiscan.com/TX/bill/HB831/2023,Julie Johnson,,720f1085450e4816e975679230152c10
New Jersey,A1846,Prohibits unfair discrimination in issuing or rating life insurance policies based on transgender status or certain gender identity information.,Insurance Nondiscrimination,1/11/2022,"Introduced, Referred to Assembly Financial Institutions and Insurance Committee",Safest,,https://legiscan.com/NJ/bill/A1846/2022,Ellen Park,,13b4b9480ef93a404c8a1a0c991c3507
New Jersey,S1133,Prohibits unfair discrimination in issuing or rating life insurance policies based on transgender status or certain gender identity information.,Insurance Nondiscrimination,1/31/2022,"Introduced in the Senate, Referred to Senate Commerce Committee",Safest,,https://legiscan.com/NJ/bill/S1133/2022,"Joseph Vitale, Vin Gopal",,474f51c32e3d4d10d647cedab6e9d4ce
Texas,SB110,Relating to the prohibition of certain discrimination; authorizing civil penalties.,Job Nondiscrimination,3/16/2023,Co-author authorized,Worst,,https://legiscan.com/TX/bill/SB110/2023,"Jose Menendez, Sarah Eckhardt, Royce West",,36e1dc59a93133dc2166fe276e131ca1
Oregon,HB3082,Relating to displays of symbols of inclusion by public employees.,Job Nondiscrimination,6/25/2023,In committee upon adjournment.,Safest,,https://legiscan.com/OR/bill/HB3082/2023,Ben Bowman,,7d2c8dba2a7b886d4b6f08e72a945acd
Illinois,HB1596,CHILDREN-PRONOUNS-REFERENCES,Language Bill,6/9/2023,Public Act . . . . . . . . . 103-0022,Safest,,https://legiscan.com/IL/bill/HB1596/2023,"Lakesia Collins, Carol Ammons, Dagmara Avelar, Edgar Gonzalez, Hoan Huynh, Bob Morgan, Anna Moeller, Michelle Mussman, Kelly Cassidy, Will Guzzardi, LaShawn Ford, Anne Stava-Murray, Lindsey LaPointe, Katie Stuart, Rita Mayfield, Laura Faver Dias, Sonya Harper, Maura Hirschauer, Elizabeth Hernandez, Camille Lilly, Mike Simmons, Robert Martwick, Ann Gillespie, Laura Fine, Cristina Castro, Rachel Ventura, Emil Jones","Hearing 2023-03-01 14:00 Room 122B, Hearing 2023-04-20 09:00 Room 409, Hearing 2023-04-27 09:30 Room 409",6005ab7ab1b4cb6a97ca4a7f97981cd0
Pennsylvania,SB293,"In terms and courses of study, providing for consent education.",LGBTQ+ Inclusive Curriculum,1/31/2023,Referred to EDUCATION,Low,,https://legiscan.com/PA/bill/SB293/2023,"Timothy Kearney, Wayne Fontana, Christine Tartaglione, Jay Costa, John Kane, Katie Muth, Sharif Street, Amanda Cappelletti, Steven Santarsiero",,76db7824e270fb9d735e6f5c21ba76b4
Arizona,SB1549,Textbooks; adverse representation; prohibition.,LGBTQ+ Inclusive Curriculum,Unknown,Unknown,Low,,https://legiscan.com/AZ/bill/SB1549/2023,"Lela Alston, Rosanna Gabaldon, Sally Gonzales, Catherine Miranda, Nancy Gutierrez",,fb4e6b29b21475266ee8b38b6c98a7a1
Missouri,HB507,Allows school districts to include instruction on LGBTQ contributions to society,LGBTQ+ Inclusive Curriculum,5/12/2023,Referred: Elementary and Secondary Education(H),Worst,,https://legiscan.com/MO/bill/HB507/2023,Doug Mann,,4837339bf5e0f469407cbb238c68cd63
Illinois,HB1485,INCLUSIVE AMERICAN HISTORY,LGBTQ+ Inclusive Curriculum,3/10/2023,Rule 19(a) / Re-referred to Rules Committee,Safest,,https://legiscan.com/IL/bill/HB1485/2023,LaShawn Ford,"Hearing 2023-03-08 08:00 Room C-1 Stratton Building, Hearing 2023-03-09 12:00 118 and Virtual Room 2",4596360331dc55d7a801cd9ee1f313c9
Indiana,HB1071,Implicit bias continuing education.,LGBTQ+ Inclusive Training,1/9/2023,First reading: referred to Committee on Public Health,Worst,,https://legiscan.com/IN/bill/HB1071/2023,Robin Shackleford,,996b884557b6aaf15bf2cfe647f9cfa5
