Date,State,Bill,Bill Description,Bill Type,Status,Bill Link
3/16/18,KS,HB 2687,Dead/Failed,Religious Freedom,Dead/Failed,
3/16/18,KS,SB 401,Dead/Failed,Religious Freedom,Dead/Failed,
2/5/18,OK,HB 1507, Referred to committee (H),Religious Freedom,Introduced,
2/6/18,OK,HB 3483," Second reading, referred to committee",Religious Freedom,Introduced,
2/6/18,OK,HB 3486," Second reading (H), referred to committee",Religious Freedom,Introduced,
5/11/18,OK,SB 1140, Signed/Enacted by Governor,Religious Freedom,Signed/Enacted,
1/4/18,MO,HB 1763, Second reading (H),Religious Freedom,Introduced,
2/21/17,OK,SB 197, Committee reported Pass as amended (S),Religious Freedom,Crossed Over,
4/29/19,IN,HB 1525,Dead/Failed ,Public Facilities,Dead/Failed ,
1/22/19,MA,HB 1427, Referred to the Committee on Judiciary  ,Public Facilities,Introduced,
1/22/19,MA ,HB 1504 , Referred to the Committee on Judiciary  ,Public Facilities,Introduced,
5/9/19,TN,SB 1297 , Comp. Became Pub. Ch. 251  ,Public Facilities,Crossed Over,
5/9/19,TN ,HB 1151, Pub. Ch. 251 — Effective 7/1/2019 ,Public Facilities,Signed/Enacted,
2/18/19,WA,HB 2088," First Reading, Referred to Public Safety",Public Facilities,Introduced,
4/8/19,MS,HB 1176,Dead/Failed ,Religious Freedom,Dead/Failed ,
5/27/19,TX,HB 1035,Dead/Failed ,Religious Freedom,Dead/Failed ,
3/13/19,AK,HB 5, Judiciary Replaces EDC Referral,Healthcare,Dead/Failed,
3/29/19,IL ,HB 3515, Re-referred to Rules Committee ,Healthcare,Introduced,
6/3/19,NV,SB 124,Dead/Failed ,Healthcare,Dead/Failed ,
5/27/19,TX ,SB 1107,Dead/Failed ,Healthcare,Dead/Failed ,
4/5/19,IN ,HB 1208, Signed/Enacted by Governor  ,Other,Signed/Enacted,
2/13/19,KS,HB 2320, Referred to Committee on Judiiciary ,Other,Introduced,
2/14/19,NC,HB 65, Referred to Committee on Rules  ,Other,Introduced,
1/31/19,NH,HB 163, Inexpedient to Legislate,Other,Dead/Failed,
3/29/19,SD,HB 49,Dead/Failed ,Other,Dead/Failed ,
3/29/19,SD,HB 1108 ,Dead/Failed  ,Other,Dead/Failed  ,
3/29/19,SD,HB 1205 ,Dead/Failed ,Other,Dead/Failed ,
3/29/19,SD,HB 1225,Dead/Failed  ,Other,Dead/Failed  ,
5/27/19,TX,HB 1910,Dead/Failed  ,Other,Dead/Failed  ,
5/27/19,TX,SB 2369,Dead/Failed  ,Other,Dead/Failed  ,
