"Date","State","Bill","Bill Description","Bill Type","Status","Bill Link","year"
2021-05-24,"Arizona","HB2655","Birth certificates; amendments; sex designation","ID Updates","Introduced","https://legiscan.com/AZ/bill/HB2655/2021","2021"
2021-05-21,"Tennessee","SB0126","As enacted, specifies that standard medical practice does not involve prescribing hormone treatment for gender dysphoric or gender incongruent prepubertal minors; prohibits a healthcare prescriber from prescribing a course of treatment that involves hormone treatment for gender dysphoric or gender incongruent prepubertal minors, except that a healthcare prescriber may prescribe a course of treatment that involves hormone treatments for prepubertal minors for diagnoses of growth deficiencies or other diagnoses unrelated to gender dysphoria or gender incongruency. - Amends TCA Title 8; Title 53; Title 56; Title 63; Title 68 and Title 71.","Healthcare","Signed/Enacted","https://legiscan.com/TN/bill/SB0126/2021","2021"
2021-05-21,"Tennessee","HB1027","As enacted, specifies that standard medical practice does not involve prescribing hormone treatment for gender dysphoric or gender incongruent prepubertal minors; prohibits a healthcare prescriber from prescribing a course of treatment that involves hormone treatment for gender dysphoric or gender incongruent prepubertal minors, except that a healthcare prescriber may prescribe a course of treatment that involves hormone treatments for prepubertal minors for diagnoses of growth deficiencies or other diagnoses unrelated to gender dysphoria or gender incongruency. - Amends TCA Title 8; Title 53; Title 56; Title 63; Title 68 and Title 71.","Healthcare","Signed/Enacted","https://legiscan.com/TN/bill/HB1027/2021","2021"
2021-05-20,"West Virginia","HB3293","Relating to single-sex participation in interscholastic athletic events","Youth Athletics","Signed/Enacted","https://legiscan.com/WV/bill/HB3293/2021","2021"
2021-05-19,"Tennessee","SB1367","As enacted, enacts the ""Tennessee Accommodations for All Children Act."" - Amends TCA Title 49.","Youth Athletics","Signed/Enacted","https://legiscan.com/TN/bill/SB1367/2021","2021"
2021-05-19,"Tennessee","HB1233","As enacted, enacts the ""Tennessee Accommodations for All Children Act."" - Amends TCA Title 49.","Youth Athletics","Signed/Enacted","https://legiscan.com/TN/bill/HB1233/2021","2021"
2021-05-19,"Tennessee","SB1224","As enacted, requires a public or private entity or business that operates a building or facility open to the general public to post a notice at the entrance of each public restroom of the entity's or business's policy of allowing a member of either biological sex to use any public restroom within the building or facility, if the entity or business maintains such a policy. - Amends TCA Title 4; Title 5; Title 6; Title 7; Title 49 and Title 68.","Youth Athletics","Signed/Enacted","https://legiscan.com/TN/bill/SB1224/2021","2021"
2021-05-19,"Tennessee","HB1182","As enacted, requires a public or private entity or business that operates a building or facility open to the general public to post a notice at the entrance of each public restroom of the entity's or business's policy of allowing a member of either biological sex to use any public restroom within the building or facility, if the entity or business maintains such a policy. - Amends TCA Title 4; Title 5; Title 6; Title 7; Title 49 and Title 68.","Youth Athletics","Signed/Enacted","https://legiscan.com/TN/bill/HB1182/2021","2021"
2021-05-18,"Texas","SB1311","Relating to the provision of and professional liability insurance coverage for gender transitioning or gender reassignment medical procedures and treatments for certain children.","Youth Athletics","Crossed Over","https://legiscan.com/TX/bill/SB1311/2021","2021"
2021-05-13,"Illinois","HB4082","Amends the Interscholastic Athletic Organization Act. Provides that any athletic team or sport that is under the jurisdiction of an association or entity that provides for interscholastic athletics or athletic competition among schools and student must be expressly designated as (i) a male athletic team or sport, (ii) a female athletic team or sport, or (iii) a coeducational athletic team or sport. Provides that an athletic team or sport designated as being female is available only to participants who are female, based on their biological sex. Requires a school district or nonpublic school to obtain a written statement signed by a student's parent or guardian or the student verifying the student's age, biological sex, and that the student has not taken performance enhancing drugs; provides for a penalty for false or misleading statements. Prohibits a governmental entity or an association or entity that provides for interscholastic athletics or athletic competition among schools and students from entertaining a complaint, opening an investigation, or taking any other adverse action against a school district or nonpublic school for maintaining athletic teams or sports in accordance with these provisions.","Youth Athletics","Dead/Failed","https://legiscan.com/IL/bill/HB4082/2021","2021"
2021-05-12,"Alaska","SB140","An Act relating to school athletics, recreation, athletic teams, and sports.","Youth Athletics","Introduced","https://legiscan.com/AK/bill/SB140/2021","2021"
2021-05-07,"Montana","HB112","Require interscholastic athletes to participate under sex assigned at birth","Youth Athletics","Signed/Enacted","https://legiscan.com/MT/bill/HB112/2021","2021"
2021-05-05,"New Jersey","A5545","Fairness in Women's Sport Act.""","Youth Athletics","Introduced","https://legiscan.com/NJ/bill/A5545/2020","2021"
2021-05-03,"Kansas","SB55","Creating the fairness in women's sports act to require that female student athletic teams only include members who are biologically female.","Youth Athletics","Vetoed","https://legiscan.com/KS/bill/SB55/2021","2021"
2021-04-30,"Florida","H0935","Creates Vulnerable Child Protection Act; provides criminal penalties for health care practitioners who engage in or cause specified practices to be performed on minor under certain conditions.","Youth Athletics","Dead/Failed","https://legiscan.com/FL/bill/H0935/2021","2021"
2021-04-30,"Florida","H1475","Requires that certain athletic teams or sports sponsored by certain educational institutions be designated on basis of students' biological sex; prohibits athletic teams or sports designated for female students to be open to male students; requires that student's school or institution, as applicable, resolve disputes regarding student's sex; requires State Board of Education to adopt certain rules; provides for civil remedies & damages; provides statute of limitation.","Youth Athletics","Dead/Failed","https://legiscan.com/FL/bill/H1475/2021","2021"
2021-04-30,"Florida","S2012","Creating the ""Promoting Equality of Athletic Opportunity Act""; requiring that certain athletic teams or sports sponsored by certain educational institutions be designated on the basis of students' biological sex; prohibiting athletic teams or sports designated for female students from being open to male students; specifying conditions under which persons who transition from male to female are eligible to compete in the female category; requiring a student that fails to comply with certain conditions to be suspended from female competition for 12 months; requiring the Board of Governors of the State University System to adopt regulations and the State Board of Education to adopt rules regarding the resolution of disputes, etc.","Youth Athletics","Dead/Failed","https://legiscan.com/FL/bill/S2012/2021","2021"
2021-04-30,"Montana","SB280","Revise vital statistics laws regarding sex designation on birth certificate","ID Updates","Signed/Enacted","https://legiscan.com/MT/bill/SB280/2021","2021"
2021-04-29,"Arkansas","SB450","To Create The Gender Integrity Reinforcement Legislation For Sports (girls) Act; And To Create A Legal Cause Of Action For A Violation Of The Gender Integrity Reinforcement Legislation For Sports (girls) Act.","Youth Athletics","Signed/Enacted","https://legiscan.com/AR/bill/SB450/2021","2021"
2021-04-29,"Montana","SB245","Implement medical ethics and diversity act","Healthcare","Dead/Failed","https://legiscan.com/MT/bill/SB245/2021","2021"
2021-04-29,"Montana","HB427","Provide for youth health protection","Youth Athletics","Dead/Failed","https://legiscan.com/MT/bill/HB427/2021","2021"
2021-04-29,"Montana","HB113","Provide for youth health protection","Youth Athletics","Dead/Failed","https://legiscan.com/MT/bill/HB113/2021","2021"
2021-04-28,"Texas","SB1646","Relating to the definition of abuse of a child.","Healthcare","Crossed Over","https://legiscan.com/TX/bill/SB1646/2021","2021"
2021-04-22,"Montana","SB215","Establish the religious freedom restoration act","Religious Freedom","Signed/Enacted","https://legiscan.com/MT/bill/SB215/2021","2021"
2021-04-22,"North Dakota","1298","AN ACT to create and enact a new section to chapter 14-02.4 of the North Dakota Century Code, relating to participation in athletic events exclusively for males or females; and to provide for a legislative management study.","Youth Athletics","Vetoed","https://legiscan.com/ND/bill/1298/2021","2021"
2021-04-22,"Wisconsin","SB323","An Act to amend 36.12 (1) and 38.23 (1); and to create 36.25 (58) and 38.12 (15) of the statutes; Relating to: designating University of Wisconsin and technical college sports and athletic teams based on the sex of the participants.","Youth Athletics","Introduced","https://legiscan.com/WI/bill/SB323/2021","2021"
2021-04-22,"Wisconsin","SB322","An Act to amend 118.13 (1); and to create 118.132 of the statutes; Relating to: designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.","Youth Athletics","Introduced","https://legiscan.com/WI/bill/SB322/2021","2021"
2021-04-20,"Alabama","HB391","Schools, public K-12, athletic events allowing competition by one biological gender against another prohibited unless the event specifically includes both genders","Youth Athletics","Signed/Enacted","https://legiscan.com/AL/bill/HB391/2021","2021"
2021-04-20,"Arkansas","HB1951","To Amend The Criminal Offense Of Sexual Indecency With A Child.","Public Facilities","Introduced","https://legiscan.com/AR/bill/HB1951/2021","2021"
2021-04-20,"Arizona","SB1456","Sex education instruction; parental rights","Other","Vetoed","https://legiscan.com/AZ/bill/SB1456/2021","2021"
2021-04-15,"Texas","SB29","Relating to requiring public school students to compete in interscholastic athletic competitions based on sex and a study conducted by the University Interscholastic League on the effects of allowing a student to participate in an athletic competition designated for the sex opposite to the student's sex.","Youth Athletics","Crossed Over","https://legiscan.com/TX/bill/SB29/2021","2021"
2021-04-13,"Arkansas","HB1570","To Create The Arkansas Save Adolescents From Experimentation (safe) Act.","Healthcare","Signed/Enacted","https://legiscan.com/AR/bill/HB1570/2021","2021"
2021-04-06,"South Carolina","H4153","Amend The Code Of Laws Of South Carolina, 1976, So As To Enact The ""save Women's Sports Act"" By Adding Section 59-1-500 So As To Ensure Continued Inclusivity Of Females In The School Sports Arena By Providing That Public And Private Middle School-level And High School-level Teams And Sports Must Be Designated Based On Biological Sex, To Provide That Teams Or Sports Designated For Females May Be Restricted To Students Of The Female Sex, To Provide For Certain Protections For Public And Private Schools, And To Provide Certain Relief For Violations.","Youth Athletics","Dead/Failed","https://legiscan.com/SC/bill/H4153/2021","2021"
2021-04-06,"Tennessee","SB0228","As enacted, requires that a student's gender for purposes of participation in a public middle school or high school interscholastic athletic activity or event be determined by the student's sex at the time of the student's birth, as indicated on the student's original birth certificate. - Amends TCA Title 49.","Youth Athletics","Signed/Enacted","https://legiscan.com/TN/bill/SB0228/2021","2021"
2021-04-06,"Tennessee","HB0003","As enacted, requires that a student's gender for purposes of participation in a public middle school or high school interscholastic athletic activity or event be determined by the student's sex at the time of the student's birth, as indicated on the student's original birth certificate. - Amends TCA Title 49.","Youth Athletics","Signed/Enacted","https://legiscan.com/TN/bill/HB0003/2021","2021"
